1,1,1254.8,447.9,36.4,99.9,0.9100000262260437,-1,-1,-1
1,2,1099.6,438.4,37.8,110.0,0.9399999976158142,-1,-1,-1
1,3,1015.2,434.0,40.5,119.5,0.8899999856948853,-1,-1,-1
2,1,1254.7,447.6,36.6,100.5,0.8999999761581421,-1,-1,-1
2,2,1099.7,438.4,37.6,109.4,0.9399999976158142,-1,-1,-1
2,3,1015.1,433.7,40.7,120.1,0.8899999856948853,-1,-1,-1
3,1,1254.8,447.3,36.4,100.1,0.8999999761581421,-1,-1,-1
3,2,1099.7,438.7,37.6,109.3,0.9300000071525574,-1,-1,-1
3,3,1016.1,435.3,39.8,117.5,0.8999999761581421,-1,-1,-1
3,4,585.5,447.0,86.7,261.0,0.9599999785423279,-1,-1,-1
3,5,636.9,461.2,64.0,183.5,0.9300000071525574,-1,-1,-1
3,6,936.2,434.0,40.3,113.5,0.9200000166893005,-1,-1,-1
4,1,1254.9,447.4,36.3,99.9,0.8999999761581421,-1,-1,-1
4,2,1099.7,439.0,37.6,109.3,0.9300000071525574,-1,-1,-1
4,3,1015.5,433.4,40.3,118.8,0.8899999856948853,-1,-1,-1
4,4,585.3,446.9,87.0,261.7,0.9599999785423279,-1,-1,-1
4,5,637.4,459.5,64.6,185.1,0.9300000071525574,-1,-1,-1
4,6,936.2,434.0,40.5,114.0,0.9200000166893005,-1,-1,-1
5,1,1255.0,447.5,36.1,99.4,0.8999999761581421,-1,-1,-1
5,2,1099.8,439.4,37.4,108.8,0.9300000071525574,-1,-1,-1
5,3,1015.4,432.8,40.2,118.8,0.8899999856948853,-1,-1,-1
5,4,585.2,446.3,87.2,262.5,0.9599999785423279,-1,-1,-1
5,5,639.1,460.0,64.4,184.6,0.9300000071525574,-1,-1,-1
5,6,936.1,434.0,40.8,114.6,0.9200000166893005,-1,-1,-1
6,1,1255.1,447.7,36.0,99.2,0.8999999761581421,-1,-1,-1
6,2,1099.7,439.0,37.5,109.1,0.9300000071525574,-1,-1,-1
6,3,1015.5,433.1,39.8,117.8,0.8899999856948853,-1,-1,-1
6,4,585.4,446.1,87.2,262.7,0.9599999785423279,-1,-1,-1
6,5,640.4,458.9,64.6,185.5,0.9300000071525574,-1,-1,-1
6,6,935.7,434.3,40.5,113.8,0.9200000166893005,-1,-1,-1
7,1,1254.9,447.6,36.2,100.1,0.8999999761581421,-1,-1,-1
7,2,1099.7,439.1,37.5,109.3,0.9300000071525574,-1,-1,-1
7,3,1015.5,433.2,39.8,117.9,0.8899999856948853,-1,-1,-1
7,4,585.5,445.9,87.3,263.0,0.9599999785423279,-1,-1,-1
7,5,640.5,458.6,64.8,186.7,0.9200000166893005,-1,-1,-1
7,6,935.2,434.6,40.3,113.0,0.9200000166893005,-1,-1,-1
8,1,1255.1,448.0,36.0,99.5,0.8999999761581421,-1,-1,-1
8,2,1099.8,439.1,37.3,108.8,0.9300000071525574,-1,-1,-1
8,3,1015.7,433.7,39.5,117.1,0.8899999856948853,-1,-1,-1
8,4,585.3,446.2,87.1,262.6,0.9599999785423279,-1,-1,-1
8,5,641.2,458.7,65.0,188.0,0.9100000262260437,-1,-1,-1
8,6,934.8,435.2,39.6,111.3,0.9100000262260437,-1,-1,-1
8,7,1384.5,413.2,154.0,384.6,0.9200000166893005,-1,-1,-1
9,1,1254.8,448.2,35.5,98.4,0.8999999761581421,-1,-1,-1
9,2,1099.3,438.9,37.4,109.2,0.9300000071525574,-1,-1,-1
9,3,1014.4,432.5,40.2,119.1,0.8799999952316284,-1,-1,-1
9,4,585.2,445.7,87.1,263.1,0.9599999785423279,-1,-1,-1
9,5,641.6,459.0,65.1,188.9,0.9100000262260437,-1,-1,-1
9,6,934.1,435.6,39.7,111.2,0.9100000262260437,-1,-1,-1
9,7,1394.6,413.1,153.3,383.7,0.9100000262260437,-1,-1,-1
9,8,1373.2,436.3,51.1,126.8,0.8700000047683716,-1,-1,-1
